1,Entiende tu mente,30,Psicología,Reflexiones sobre la psicología cotidiana,2020-01-15,Mónica González|Luis Muiño|Mónica Muiños
2,Radio Ambulante,45,Periodismo,Historias de América Latina contadas en español,2012-05-18,Daniel Alarcón
3,Se Regalan Dudas,60,Entrevistas,Conversaciones para cuestionarlo todo,2018-10-01,Lety Sahagún|Ashley Frangie
4,El Hilo,40,Noticias,El resumen semanal de América Latina,2020-02-21,Silvia Viñas|Eliezer Budasoff
5,Creativo,90,Entretenimiento,Entrevistas a creadores de contenido y emprendedores,2018-08-10,Roberto Martínez
6,Finanzas para Todos,35,Finanzas,Consejos financieros y gestión de dinero,2019-11-12,Sergio Fernández|Laura Gutiérrez
7,El Podcast de Cristina Mitre,50,Salud y bienestar,Entrevistas sobre salud, fitness y bienestar,2017-03-22,Cristina Mitre
8,Despertando Podcast,10,Motivación,Micro reflexiones diarias para empezar tu día,2019-06-05,Liz Rangel
9,Medicina Clara,20,Salud,Podcast de divulgación médica en español,2021-01-25,Dr. Manuel Sánchez
10,La Cotorrisa,70,Comedia,Historias graciosas y entretenimiento ligero,2019-09-18,José Luis Slobotzky|Ricardo Pérez
